class,v1,v3,v5,v7,v8,v9,v11,v12,v13,v14,v15,v21,v23,v25,v29,v31,v33
1,1,0.99539,0.85243,0.83398,-0.37708,1.0,0.85243,-0.17755,0.59755,-0.44945,0.60536,0.56971,0.36946,0.56811,0.21266,0.42267,0.18641
0,1,1.0,0.93035,-0.10868,-0.93597,1.0,0.50874,-0.67743,0.34432,-0.69707,-0.51685,-0.13151,-0.18056,-0.20332,-0.1904,-0.16626,-0.13738
1,1,1.0,1.0,1.0,-0.12062,0.88965,0.73082,0.05346,0.85443,0.00827,0.54591,0.70887,0.43385,0.57528,0.431,0.60436,0.56045
0,1,1.0,1.0,0.71216,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.69975,0.0,1.0,1.0,0.25682,-0.32382
1,1,1.0,0.9414,0.92106,-0.23255,0.77152,0.52798,-0.20275,0.56409,-0.00712,0.34395,0.05982,0.02309,0.03286,0.02431,-0.05707,-0.04608
0,1,0.02337,-0.09924,-0.00763,-0.11824,0.14706,0.03786,-0.06302,0.0,0.0,-0.04572,0.01838,0.01519,0.03513,-0.07859,0.0,-0.00039
1,1,0.97588,0.94601,0.92806,-0.2835,0.85996,0.79766,-0.47929,0.78225,-0.50764,0.74628,0.36324,0.31898,0.22792,0.04606,-0.04262,-0.13832
0,0,0.0,0.0,1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1,1,0.96355,1.0,1.0,-0.21313,1.0,0.9257,-0.43569,0.9451,-0.40668,0.90392,0.75346,0.69637,0.85106,0.25435,0.45114,0.38895
0,1,-0.01864,0.0,0.0,0.0,0.1147,-0.45663,-0.38172,0.0,0.0,-0.33656,0.0,0.0,-0.14803,0.0,0.16595,-0.08208
1,1,1.0,1.0,1.0,-0.2732,1.0,1.0,-0.41349,0.96232,-0.51874,0.90711,0.70645,0.63081,0.55867,0.40303,0.30996,0.22995
0,1,1.0,1.0,1.0,-1.0,1.0,1.0,-0.41119,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1,1.0,1.0,0.99999,-0.15197,1.0,0.94055,-0.35151,0.95735,-0.29785,0.93719,0.86043,0.82987,0.8408,0.65723,0.68714,0.64727
0,1,1.0,1.0,0.85492,-0.39896,1.0,1.0,0.35147,1.0,0.07772,1.0,0.61831,1.0,1.0,1.0,1.0,1.0
1,1,1.0,1.0,1.0,-0.05563,1.0,1.0,0.19651,1.0,0.20328,1.0,1.0,1.0,1.0,0.95603,1.0,1.0
0,1,0.50932,1.0,-0.0352,-1.0,1.0,0.43685,-1.0,0.0,0.0,-1.0,0.0,0.0,-0.16253,0.0,1.0,0.0
1,1,0.99645,1.0,0.97811,0.02498,0.96112,0.99274,0.07808,0.89323,0.10346,0.94212,0.81633,0.83668,0.81329,0.7911,0.77122,0.70941
0,0,0.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
