A1,A4,A9,A10,A11,A12
+,0.0,1.25,t,t,1
+,4.46,3.04,t,t,6
+,0.5,1.5,t,f,0
+,1.54,3.75,t,t,5
+,5.625,1.71,t,f,0
+,4.0,2.5,t,f,0
+,1.04,6.5,t,f,0
+,11.585,0.04,t,f,0
+,0.5,3.96,t,f,0
+,4.915,3.165,t,f,0
+,0.83,2.165,f,f,0
+,1.835,4.335,t,f,0
+,6.0,1.0,t,f,0
+,6.04,0.04,f,f,0
+,10.5,5.0,t,t,7
+,4.415,0.25,t,t,10
+,0.875,0.96,t,t,3
+,5.875,3.17,t,t,10
+,0.25,0.665,t,f,0
+,8.585,0.75,t,t,7
+,11.25,2.5,t,t,17
+,1.0,0.835,t,f,0
+,8.0,7.875,t,t,6
+,14.5,3.085,t,t,1
+,6.5,0.5,t,t,3
+,0.585,1.5,t,t,2
+,13.0,5.165,t,t,9
+,18.5,15.0,t,t,17
+,8.5,7.0,t,t,3
+,1.04,5.0,t,t,6
+,14.79,5.04,t,t,5
+,9.79,7.96,t,t,8
+,7.585,7.585,t,t,15
+,5.125,5.0,t,f,0
+,10.75,0.415,t,t,5
+,1.5,2.0,t,t,11
+,1.585,1.835,t,t,12
+,11.75,0.5,t,t,2
+,0.585,0.25,t,t,2
+,9.415,14.415,t,t,11
+,9.17,4.5,t,t,12
+,15.0,5.335,t,t,11
+,1.415,0.75,t,t,1
+,13.915,8.625,t,t,6
+,28.0,28.5,t,t,40
+,6.75,2.625,t,t,11
+,2.04,0.125,t,t,23
+,4.46,6.04,t,t,3
+,1.54,3.5,f,f,0
+,0.665,0.165,f,f,0
+,0.5,0.875,t,f,0
+,1.0,1.75,t,f,0
+,2.04,0.04,t,f,0
+,2.5,0.0,t,f,0
+,3.0,7.415,t,f,0
+,11.625,0.835,t,f,0
+,0.0,0.085,t,f,0
+,0.5,5.0,t,f,0
+,4.5,5.75,f,f,0
+,3.0,6.0,t,t,11
+,12.25,1.25,t,t,4
+,16.165,3.0,t,t,9
+,0.79,1.5,t,t,2
+,0.835,1.585,t,t,1
+,4.25,4.29,t,t,1
+,1.54,1.54,t,t,1
+,1.0,2.0,t,t,11
+,0.375,0.25,t,t,3
+,6.5,1.46,t,t,7
+,25.125,1.625,t,t,1
-,7.5,1.585,t,f,0
-,4.0,12.5,t,f,0
-,5.0,13.5,t,f,0
-,0.5,10.75,t,f,0
-,7.0,1.625,f,f,0
-,5.29,0.375,t,t,1
-,6.5,0.125,t,f,0
-,0.585,0.585,t,f,0
-,1.165,2.5,t,t,1
-,9.75,0.25,t,f,0
-,19.0,0.0,t,t,1
-,1.5,2.0,t,f,0
-,0.5,0.25,t,f,0
-,3.5,3.0,t,f,0
-,0.625,0.455,t,f,0
-,4.0,5.0,t,f,0
-,0.375,0.875,t,f,0
-,2.21,4.0,t,f,0
-,4.5,1.0,t,f,0
-,1.5,0.0,t,f,0
-,12.75,5.0,t,f,0
-,15.5,0.5,t,f,0
-,5.0,8.5,t,f,0
-,1.375,9.46,t,f,0
-,1.5,1.5,t,f,0
-,3.54,0.5,t,f,0
-,0.625,0.125,t,f,0
-,0.5,0.835,t,f,0
-,11.0,3.0,t,f,0
-,1.0,1.0,t,t,2
-,1.75,0.25,t,f,0
-,16.5,4.0,t,f,0
-,5.0,0.375,t,t,2
-,12.0,2.25,t,t,2
-,4.0,5.75,t,t,2
-,15.5,0.0,t,t,20
-,1.165,0.5,t,f,0
-,11.0,4.5,t,f,0
-,2.25,10.0,t,f,0
-,0.75,0.795,t,t,5
