A1,A4,A9,A10,A11,A12
0,0.0,1.25,1,1,1
0,4.46,3.04,1,1,6
0,0.5,1.5,1,0,0
0,1.54,3.75,1,1,5
0,5.625,1.71,1,0,0
0,4.0,2.5,1,0,0
0,1.04,6.5,1,0,0
0,11.585,0.04,1,0,0
0,0.5,3.96,1,0,0
0,4.915,3.165,1,0,0
0,0.83,2.165,0,0,0
0,1.835,4.335,1,0,0
0,6.0,1.0,1,0,0
0,6.04,0.04,0,0,0
0,10.5,5.0,1,1,7
0,4.415,0.25,1,1,10
0,0.875,0.96,1,1,3
0,5.875,3.17,1,1,10
0,0.25,0.665,1,0,0
0,8.585,0.75,1,1,7
0,11.25,2.5,1,1,17
0,1.0,0.835,1,0,0
0,8.0,7.875,1,1,6
0,14.5,3.085,1,1,1
0,6.5,0.5,1,1,3
0,0.585,1.5,1,1,2
0,13.0,5.165,1,1,9
0,18.5,15.0,1,1,17
0,8.5,7.0,1,1,3
0,1.04,5.0,1,1,6
0,14.79,5.04,1,1,5
0,9.79,7.96,1,1,8
0,7.585,7.585,1,1,15
0,5.125,5.0,1,0,0
0,10.75,0.415,1,1,5
0,1.5,2.0,1,1,11
0,1.585,1.835,1,1,12
0,11.75,0.5,1,1,2
0,0.585,0.25,1,1,2
0,9.415,14.415,1,1,11
0,9.17,4.5,1,1,12
0,15.0,5.335,1,1,11
0,1.415,0.75,1,1,1
0,13.915,8.625,1,1,6
0,28.0,28.5,1,1,40
0,6.75,2.625,1,1,11
0,2.04,0.125,1,1,23
0,4.46,6.04,1,1,3
0,1.54,3.5,0,0,0
0,0.665,0.165,0,0,0
0,0.5,0.875,1,0,0
0,1.0,1.75,1,0,0
0,2.04,0.04,1,0,0
0,2.5,0.0,1,0,0
0,3.0,7.415,1,0,0
0,11.625,0.835,1,0,0
0,0.0,0.085,1,0,0
0,0.5,5.0,1,0,0
0,4.5,5.75,0,0,0
0,3.0,6.0,1,1,11
0,12.25,1.25,1,1,4
0,16.165,3.0,1,1,9
0,0.79,1.5,1,1,2
0,0.835,1.585,1,1,1
0,4.25,4.29,1,1,1
0,1.54,1.54,1,1,1
0,1.0,2.0,1,1,11
0,0.375,0.25,1,1,3
0,6.5,1.46,1,1,7
0,25.125,1.625,1,1,1
1,7.5,1.585,1,0,0
1,5.0,13.5,1,0,0
1,0.5,10.75,1,0,0
1,7.0,1.625,0,0,0
1,5.29,0.375,1,1,1
1,6.5,0.125,1,0,0
1,0.585,0.585,1,0,0
1,1.165,2.5,1,1,1
1,9.75,0.25,1,0,0
1,19.0,0.0,1,1,1
1,1.5,2.0,1,0,0
1,0.5,0.25,1,0,0
1,0.625,0.455,1,0,0
1,4.0,5.0,1,0,0
1,2.21,4.0,1,0,0
1,4.5,1.0,1,0,0
1,1.5,0.0,1,0,0
1,12.75,5.0,1,0,0
1,15.5,0.5,1,0,0
1,1.375,9.46,1,0,0
1,1.5,1.5,1,0,0
1,3.54,0.5,1,0,0
1,0.625,0.125,1,0,0
1,11.0,3.0,1,0,0
1,1.0,1.0,1,1,2
1,1.75,0.25,1,0,0
1,16.5,4.0,1,0,0
1,5.0,0.375,1,1,2
1,12.0,2.25,1,1,2
1,4.0,5.75,1,1,2
1,15.5,0.0,1,1,20
1,1.165,0.5,1,0,0
1,11.0,4.5,1,0,0
1,2.25,10.0,1,0,0
1,0.75,0.795,1,1,5
1,3.5,3.5,1,1,3
1,1.04,0.5,1,1,3
1,12.5,0.875,1,0,0
1,0.75,1.0,1,1,3
1,1.25,1.375,1,1,3
1,1.125,1.29,1,1,2
1,7.0,11.5,1,1,7
0,6.5,6.29,1,1,15
0,7.04,14.0,1,1,6
0,10.335,0.335,1,1,1
0,6.21,0.04,1,1,1
0,12.5,1.21,1,1,67
0,12.5,1.5,1,1,12
0,6.665,7.375,1,1,3
0,9.0,8.5,1,1,5
0,5.0,7.5,1,1,6
0,2.5,2.5,1,1,12
0,11.0,2.5,1,1,7
0,4.25,3.25,1,1,2
0,3.5,0.835,1,0,0
0,5.5,13.0,1,1,1
0,1.835,2.25,1,1,1
0,8.0,6.5,1,1,6
0,5.0,2.5,1,1,6
0,5.5,5.5,1,1,12
0,6.5,6.0,1,0,0
0,0.54,0.5,1,1,3
0,2.75,4.25,1,1,6
0,9.5,1.625,1,1,6
0,13.5,5.0,1,1,2
0,3.75,0.625,1,1,9
0,16.0,0.0,1,1,15
0,0.29,1.75,1,1,8
0,11.0,2.0,1,1,1
0,1.665,5.085,1,1,9
0,2.5,2.75,1,1,6
0,1.5,2.375,1,1,3
0,7.54,8.0,1,1,14
0,6.5,4.0,1,1,7
0,15.0,5.5,1,1,14
0,0.46,0.415,1,1,11
0,10.0,4.0,1,1,14
0,6.5,4.25,1,1,12
0,2.5,1.085,1,1,11
0,1.5,5.5,1,1,3
0,11.5,0.0,1,1,11
0,3.04,2.54,1,1,1
0,15.0,0.0,1,1,14
0,2.0,4.165,1,1,2
0,0.08,0.04,1,1,1
0,2.0,1.0,1,1,4
0,2.0,1.75,1,1,2
0,1.71,1.665,1,1,1
0,1.75,0.04,1,0,0
0,16.5,11.0,1,0,0
0,10.0,1.75,1,0,0
0,9.5,1.0,1,0,0
0,0.54,0.04,1,0,0
0,3.25,9.0,1,0,0
0,1.125,1.5,0,0,0
0,2.54,0.25,1,0,0
0,0.0,15.0,1,0,0
0,12.5,8.0,1,0,0
0,13.585,8.5,1,0,0
0,10.5,1.335,1,0,0
0,1.5,0.375,1,0,0
0,12.5,3.0,1,0,0
0,8.665,1.415,1,0,0
0,9.25,1.21,1,1,4
0,8.17,1.96,1,1,14
0,0.29,15.0,1,1,20
0,2.335,0.5,1,1,4
0,3.0,0.165,1,1,3
0,19.5,5.5,1,1,7
0,5.665,2.585,1,1,7
0,8.5,12.5,1,1,9
0,6.5,3.5,1,1,1
0,5.0,5.0,1,1,7
0,1.04,2.5,1,1,5
0,4.625,1.625,1,1,2
0,10.5,3.0,1,0,0
0,0.205,5.125,1,0,0
0,0.96,2.5,1,0,0
0,1.585,3.085,1,1,6
0,4.04,8.5,1,1,7
0,5.04,1.5,1,1,8
0,3.165,3.165,1,1,3
0,7.625,15.5,1,1,12
0,2.04,2.0,1,1,3
0,10.04,0.04,1,1,9
0,0.5,1.25,1,1,1
0,1.0,2.25,1,0,0
0,10.25,0.71,1,1,2
0,2.125,0.085,1,1,1
0,12.0,14.0,1,1,8
0,9.335,5.665,1,1,6
0,2.5,4.5,1,1,7
0,4.25,6.5,1,1,16
0,5.875,10.0,1,1,14
0,6.625,5.5,1,0,0
0,14.5,18.0,1,1,15
0,11.5,3.5,1,1,9
0,2.71,5.25,1,1,1
0,3.5,3.5,1,0,0
0,4.04,7.0,1,1,8
0,11.5,5.0,1,1,5
0,9.625,8.665,1,1,5
0,9.25,1.0,1,1,4
0,12.54,2.29,1,1,3
0,11.0,20.0,1,1,7
0,9.0,1.375,1,0,0
0,9.54,0.085,1,0,0
0,5.5,0.125,1,0,0
0,4.0,0.25,1,0,0
0,5.5,0.5,1,0,0
0,8.46,2.46,0,0,0
0,0.375,2.0,1,1,2
0,11.0,0.665,1,0,0
0,3.5,0.625,1,1,7
0,3.0,13.875,1,1,2
0,1.75,4.5,1,1,4
0,13.75,5.75,1,0,0
0,21.0,10.0,1,1,13
0,1.835,2.085,1,1,5
0,0.25,0.0,1,0,0
0,7.5,1.415,1,1,1
0,4.625,4.58,1,0,0
0,10.125,2.5,1,1,6
0,10.0,2.5,1,0,0
0,25.085,1.75,1,1,3
0,5.0,11.0,1,0,0
0,2.0,1.5,1,1,2
0,3.04,2.04,1,1,1
0,8.5,14.0,1,1,1
0,0.21,0.29,1,1,11
0,11.0,0.29,1,1,6
0,21.5,20.0,1,1,11
